Job ID,Job Status,Error Code,Job Type,Backup Method,Client,Job,Schedule,Files,Files Size,Write Size,Data Transferred,Throughput,Start Time,End Time,Elapsed Time,Server,Volume Pool,Storage,Tape Drive,Volume
1644897067,Completed,-,Informix Onbar Backup,Full Backup,jh,HGFAW,testsc_2,12993,18.02 MB,9.48 MB,22.42 MB,40.2 KB/s,2022-02-15 오후 12:51:07,2022-02-15 오후 12:58:48,0:07:41,jh,add,add,-,1644897067
1644896461,Completed,-,Informix Onbar Backup,Full Backup,jh,HGFAW,testsc_1,15491,7.46 GB,10.33 GB,15.5 GB,57.01 MB/s,2022-02-15 오후 12:41:01,2022-02-15 오후 12:43:17,0:02:16,jh,dsk,dsk,-,1644896461
1644895855,Completed,-,Informix Onbar Backup,Incremental Backup,jh,HGFAW,testsc_4,7178,2.4 GB,23.02 GB,9.9 GB,4.67 MB/s,2022-02-15 오후 12:30:55,2022-02-15 오후 12:39:44,0:08:49,jh,add,add,-,1644895855
1644895249,Completed,-,Informix Onbar Backup,Incremental Backup,jh,HGFAW,testsc_3,4146,30.57 GB,15.53 GB,26.86 GB,92.6 MB/s,2022-02-15 오후 12:20:49,2022-02-15 오후 12:26:29,0:05:40,jh,ddd,ddd,-,1644895249
1644894643,Completed,-,File Backup,Archive Backup,jh,TGHCV,testsc_2,2106,18.12 GB,9.73 GB,19.6 GB,38.57 MB/s,2022-02-15 오후 12:10:43,2022-02-15 오후 12:18:46,0:08:03,jh,add,add,-,1644894643
1644894037,Completed,-,File Backup,Differential Backup,jh,TGHCV,testsc_1,4893,18.38 GB,13.83 GB,23.57 GB,109.41 MB/s,2022-02-15 오후 12:00:37,2022-02-15 오후 12:03:31,0:02:54,jh,dsk,dsk,-,1644894037
1644893431,Completed,-,File Backup,Differential Backup,jh,TGHCV,testsc_4,24699,23.57 GB,26.7 GB,29.32 GB,180.14 MB/s,2022-02-15 오전 11:50:31,2022-02-15 오전 11:52:47,0:02:16,jh,add,add,-,1644893431
1644892825,Completed,-,File Backup,Full Backup,jh,TGHCV,testsc_3,7437,30.96 MB,14.24 MB,20.9 MB,141.54 KB/s,2022-02-15 오전 11:40:25,2022-02-15 오전 11:44:11,0:03:46,jh,ddd,ddd,-,1644892825
1644892219,Completed,-,Informix Onbar Backup,Incremental Backup,jh,UIYKH,testsc_2,5689,22.79 MB,25.66 MB,30.51 MB,54.02 KB/s,2022-02-15 오전 11:30:19,2022-02-15 오전 11:37:33,0:07:14,jh,add,add,-,1644892219
1644891613,Completed,-,Informix Onbar Backup,Incremental Backup,jh,UIYKH,testsc_1,8673,21.43 GB,17.79 GB,4.68 GB,45.9 MB/s,2022-02-15 오전 11:20:13,2022-02-15 오전 11:28:13,0:08:00,jh,dsk,dsk,-,1644891613
